C	D	E	F	G	H	I	J	K	L
58.7	79.0	58.7	64.4	65.2	61.2	82.0	80.6	65.7	56.7
55.2	70.6	62.7	63.2	66.7	61.6	78.6	80.4	57.2	61.7
63.3	70.4	55.7	62.6	60.5	58.7	85.9	78.6	61.2	60.1
66.7	70.2	57.7	58.6	61.2	61.7	81.4	81.0	61.2	62.2
60.7	67.7	67.0	65.2	60.6	68.0	82.0	84.5	63.1	70.2
58.2	79.5	61.2	59.2	63.2	64.2	84.1	77.8	64.6	60.1
60.0	68.6	62.6	63.6	62.7	61.7	78.1	80.8	62.2	57.6
63.2	70.6	61.7	61.2	68.0	61.7	79.5	81.3	59.2	58.7
63.7	67.7	58.7	61.2	63.2	60.2	87.5	79.8	62.5	60.2
65.2	69.1	64.6	61.2	61.6	66.0	79.6	81.1	64.9	69.1
56.7	76.4	64.9	58.6	58.7	65.5	82.0	78.5	60.2	61.1
60.1	75.9	60.6	65.7	64.2	59.1	81.6	81.5	62.1	60.7
61.2	70.5	62.2	62.1	65.6	64.2	75.5	78.3	60.6	60.7
62.1	72.5	61.7	57.7	56.7	58.0	85.6	79.6	59.2	60.6
66.7	70.2	60.2	63.2	59.1	65.9	83.5	77.9	64.6	61.2
60.7	75.2	64.2	61.7	57.1	60.6	83.8	82.8	61.6	67.0
60.7	74.1	59.6	61.0	60.1	60.6	80.6	86.0	66.6	61.2
61.2	74.0	61.2	63.7	63.6	60.1	80.6	80.1	60.1	60.2
58.7	73.6	63.6	58.2	63.1	62.7	79.2	81.0	59.1	64.0
63.2	69.7	63.2	60.2	62.6	64.1	81.0	83.1	62.2	62.7
61.0	73.1	62.7	60.2	62.7	65.1	84.0	78.0	57.2	64.2
59.1	72.6	61.2	60.2	58.5	59.5	82.8	81.6	58.7	60.7
61.9	69.0	59.2	63.6	59.2	58.7	81.6	80.4	64.6	62.2
58.6	71.0	58.2	60.5	60.7	59.1	79.6	84.5	64.2	59.7
64.4	70.5	61.2	61.7	64.7	62.2	84.5	84.5	61.6	61.1
65.2	71.7	64.6	59.7	62.6	65.7	88.0	86.0	60.2	59.6
60.2	68.6	60.7	61.1	61.7	58.7	79.1	79.9	60.2	57.6
61.1	66.7	62.2	56.2	60.5	57.7	80.1	82.2	59.0	61.2
