procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 1170284 124244 293780 247456    0    0    51 10562 22248 20686 35 31 30  3  0	
 1  0 1170284 124524 294060 247492    0    0    51  3178 22295 21364 33 30 34  3  0	
10  0 1170284 119948 294356 247540    0    0    51   865 22602 21432 32 30 34  3  0	
 6  2 1170284 123888 294640 247572    0    0    51   962 21942 20981 36 33 27  4  0	
 1  2 1170284 123144 294924 247620    0    0    51   894 22565 21677 31 28 36  4  0	
 0  0 1170284 123280 295196 247676    0    0    51   885 22326 21135 36 31 29  4  0	
 0  0 1170284 122508 295488 247716    0    0    51   894 22492 21604 33 28 35  5  0	
 4  1 1170284 119544 295764 247760    0    0    51   922 22473 21535 33 29 35  4  0	
 2  0 1170284 121640 296040 247808    0    0    51   890 22211 21188 33 32 32  4  0	
 0  0 1170284 121740 296328 247844    0    0    51  2350 22309 21196 33 30 34  3  0	
 2  0 1170284 121384 296600 247884    0    0    51  9793 21974 19039 40 31 26  3  0	
 2  0 1170284 121168 296880 247920    0    0    51 10338 22332 20079 38 27 31  4  0	
 1  2 1170284 120284 297168 247972    0    0    51 10213 21779 20326 38 33 27  3  0	
 4  0 1170284 120044 297448 248008    0    0    51 10427 22019 20574 35 26 35  3  0	
 0  0 1170284 119176 297724 248080    0    0    51 10342 20790 18177 45 34 19  2  0	
 5  0 1170284 119068 298008 248104    0    0    51 10619 22488 20212 36 28 32  3  0	
 2  1 1170284 127908 289332 247900    0    0    51 10582 21364 18496 42 33 23  2  0	
 0  0 1170284 127420 289612 247932    0    0    51 10408 22462 20394 35 28 34  3  0	
 7  0 1170284 124876 289892 247968    0    0    51 10289 21945 18984 41 29 27  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2 1170284 127196 290172 248004    0    0    51 10615 22205 19405 41 31 25  3  0	
 2  1 1170284 126592 290456 248056    0    0    51 10550 22189 19704 39 28 30  3  0	
 1  0 1170284 126196 290732 248116    0    0    51  9026 21330 19274 40 33 24  2  0	
 1  1 1170284 125840 291016 248160    0    0    51   752 22327 21593 33 28 37  3  0	
 4  0 1170284 125708 291304 248188    0    0    51  1232 22299 21061 35 32 29  3  0	
 1  0 1170284 125352 291612 248240    0    0    51   808 22277 21569 32 29 35  4  0	
 0  0 1170284 124932 291892 248276    0    0    51   479 22466 21551 33 30 35  3  0	
 2  0 1170284 124460 292172 248328    0    0    51   820 22184 21309 34 30 33  3  0	
 1  0 1170284 124228 292456 248364    0    0    51   898 22147 21349 35 29 32  4  0	
 2  0 1170284 123840 292740 248412    0    0    51   865 22041 21213 34 30 33  4  0	
 1  0 1170284 123624 293012 248448    0    0    51   914 22177 21368 34 30 32  4  0	
 3  0 1170284 123592 293296 248492    0    0    51   917 22264 21403 35 31 31  4  0	
 8  0 1170284 119536 293568 248528    0    0    51   888 22073 21047 35 32 30  3  0	
 1  0 1170284 122732 293860 248584    0    0    51   826 22417 21620 34 31 32  3  0	
 0  0 1170284 122756 294136 248636    0    0    51   913 22680 21901 31 28 37  4  0	
 5  0 1170284 121004 294420 248680    0    0    51   918 22240 21167 34 32 31  3  0	
 1  0 1170284 122276 294712 248724    0    0    51   898 22273 21647 33 29 34  5  0	
 7  0 1170284 121524 294992 248752    0    0    51   844 22156 21254 34 32 29  4  0	
 6  0 1170284 121500 295284 248800    0    0    51   912 22487 21827 33 29 33  5  0	
 3  0 1170284 120524 295560 248832    0    0    51   874 22235 21207 35 32 30  4  0	
 1  1 1170284 120880 295840 248872    0    0    51   979 22561 21570 34 30 32  4  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 1170284 120036 296120 248924    0    0    51  6129 22158 19029 42 31 24  3  0	
 3  0 1170284 120268 296408 248984    0    0    51 10247 22170 19769 38 30 30  2  0	
 0  0 1170284 119284 296700 249020    0    0    51   877 22357 21386 35 31 31  3  0	
 4  1 1170284 119416 296996 249056    0    0    51  9591 22248 18735 42 28 26  4  0	
 1  0 1170284 118144 297276 249104    0    0    51  8204 21741 18796 42 32 24  2  0	
 1  0 1170284 118300 297560 249148    0    0    51  8599 22292 20248 37 28 31  4  0	
 6  0 1170284 115460 297832 249196    0    0    51 10220 22304 20540 36 30 31  3  0	
 1  0 1170284 117284 298124 249248    0    0    51 10630 21700 19195 40 32 26  2  0	
 4  1 1170284 116524 298404 249292    0    0    51  6406 22375 21145 36 30 32  2  0	
 2  0 1170284 116944 298688 249344    0    0    51   885 21816 20593 36 34 28  3  0	
 0  1 1170284 114872 298980 249376    0    0    51  9531 22129 19148 42 30 26  2  0	
 4  3 1170284 116160 299260 249416    0    0    51  1630 22210 21244 34 32 31  4  0	
 0  0 1170284 115580 299544 249460    0    0    51   829 22562 22127 31 28 36  5  0	
 2  0 1170284 115696 299828 249504    0    0    51   914 22165 20896 35 33 28  4  0	
 1  1 1170284 115324 300096 249552    0    0    51  2903 22479 21653 33 28 34  5  0	
 0  0 1170284 115432 300372 249596    0    0    51 10154 22034 20017 37 33 27  3  0	
 0  0 1170284 114532 300660 249644    0    0    58 10514 22436 21015 35 28 33  3  0	
 1  0 1170284 125320 290720 249416    0    0    51  8603 21787 19540 41 34 22  2  0	
 3  0 1170284 124460 291000 249452    0    0    51   900 22775 21876 31 27 38  3  0	
 9  1 1170284 117672 291272 249504    0    0    51   888 22191 21352 34 30 31  4  0	
 4  1 1170284 122196 291560 249532    0    0    51   917 22233 21644 34 30 32  4  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1 1170284 121980 291848 249580    0    0    51   865 22334 21928 31 29 35  4  0	
 1  0 1170284 121468 292116 249628    0    0    51   906 21939 21123 34 32 30  4  0	
 0  0 1170284 121360 292400 249668    0    0    51   910 22593 22050 31 29 36  4  0	
 1  1 1170284 120824 292680 249708    0    0    51   902 22330 21180 35 32 30  3  0	
 5  0 1170284 120724 292968 249760    0    0    51   870 22852 22046 33 28 35  4  0	
 6  0 1170284 119256 293248 250052    0    0   100  5070 21436 18765 31 29 36  4  0	
 1  0 1170284 128784 293536 250280    0    0    88 10438 17552 14498 17 20 57  6  0	
 1  0 1170284 127892 293820 250316    0    0    51 10358 17760 14716 18 22 55  6  0	
 0  0 1170284 126784 294104 251516    0    0   283 10556 17698 14936 16 18 60  6  0	
 1  0 1170284 125932 294384 251556    0    0    51 10606 17647 14754 18 21 56  6  0	
 0  0 1170284 124528 294664 251600    0    0    51  8562 18282 15377 15 21 59  5  0	
 3  0 1170284 117956 283184 251684    0    0    61 10382 19105 16683 25 24 47  4  0	
 3  0 1170284 120084 283472 252336    0    0   172  4304 19211 16902 24 24 48  4  0	
 5  0 1170284 118416 272764 252396    0    0    60 10443 18091 15289 42 27 28  3  0	
 3  0 1170284 129384 273052 252444    0    0    51  9734 18347 15563 58 30 11  1  0	
 2  1 1170284 124688 273328 252480    0    0    51 10556 20118 17565 40 24 32  4  0	
 4  0 1170284 126748 273600 252540    0    0    51  9886 18385 15423 42 30 25  3  0	
