==> /var/local/nectar/log/Supervisor.log.flip <==
12/11/2015 15:56:21.719 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=3 cpuload=0 memload=0
12/11/2015 15:56:23.223 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=7 cpuload=1 memload=0
12/11/2015 15:56:23.223 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=8 cpuload=1 memload=0
12/11/2015 15:56:25.227 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=7 cpuload=0 memload=0
12/11/2015 15:56:25.726 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=5 cpuload=0 memload=0
12/11/2015 15:56:27.230 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=7 cpuload=1 memload=0
12/11/2015 15:56:28.224 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=9 cpuload=2 memload=0
12/11/2015 15:56:28.730 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=6 cpuload=0 memload=0
12/11/2015 15:56:30.603 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=1 init=1)
12/11/2015 15:56:31.606 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=11 cpuload=1 memload=0
12/11/2015 15:56:31.809 | MysqlSupervision(1090) | SYS | INT | DBG | Connected to mysql @STATION_A : 15306
12/11/2015 15:56:32.116 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=12 cpuload=1 memload=0
12/11/2015 15:56:32.116 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=3 cpuload=1 memload=0
12/11/2015 15:56:32.609 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=9 cpuload=1 memload=0
12/11/2015 15:56:33.608 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=7 cpuload=0 memload=0
12/11/2015 15:56:33.609 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=11 cpuload=0 memload=0
12/11/2015 15:56:33.610 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=8 cpuload=0 memload=0
12/11/2015 15:56:34.159 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=3 cpuload=0 memload=0
12/11/2015 15:56:34.159 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=12 cpuload=0 memload=0
12/11/2015 15:56:34.612 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=9 cpuload=2 memload=0
12/11/2015 15:56:35.614 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=8 cpuload=1 memload=0
12/11/2015 15:56:36.527 | SftpAudit(30535) | SYS | INT | US2 | Libssh2Wrapper::bind OK for source ip: 192.169.57.129
12/11/2015 15:56:36.734 | MdsObsApiService(26500) | SYS | INT | FIL | RateValueProbe::getValue PassiveDbErrorRate, nb Err = 0, nb Mes = 0, rate = 0
12/11/2015 15:56:37.618 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=8 cpuload=0 memload=0
12/11/2015 15:56:38.617 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=9 cpuload=1 memload=0
12/11/2015 15:56:39.615 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=7 cpuload=1 memload=0
12/11/2015 15:56:40.130 | MatedPairService(30044) | SYS | INT | DBG | Binlog periodic observation: binlog size=4022/4074, binlog inserts=0/59, binlog updates=64507/64687, binlog deletes=126/66, size of data=406, time to fill binlog= 10h 0mn
12/11/2015 15:56:40.623 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=9 cpuload=2 memload=0
12/11/2015 15:56:41.618 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=7 cpuload=0 memload=0
12/11/2015 15:56:42.171 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=12 cpuload=1 memload=0
12/11/2015 15:56:42.626 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=9 cpuload=1 memload=0
12/11/2015 15:56:43.626 | MatedPairSMPSService(30227) | SYS | INT | DBG | MatedPairSMPSServerSocket::NotifyStatus(status=1 init=1)
12/11/2015 15:56:43.627 | MatedPairSMPSService(30227) | SYS | INT | US1 | SupervisedObject::watchdogStillHere : MatedPairSMPSService still alive.
12/11/2015 15:56:44.631 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=12 cpuload=0 memload=0
12/11/2015 15:56:48.131 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=1 cpuload=1 memload=0
12/11/2015 15:56:48.567 | FwMySQLClientService(30047) | SYS | INT | DBG | Connected to mysql @STATION_A : 15306
12/11/2015 15:56:50.139 | MatedPairSMPSService(30227) | SYS | INT | DBG | setGdmpOverload change Id=10 cpuload=1 memload=0
