procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 160220 4110804 1765404    0    0    51    14 13474 25277 44 19 37  0  0	
 3  0      0 160204 4111072 1765416    0    0    51    14 14042 24936 43 20 36  1  0	
 1  0      0 160336 4111336 1765436    0    0    51     6 14105 24605 43 17 40  0  0	
 1  0      0 159608 4111600 1765460    0    0    51    16 13588 24975 41 18 39  2  0	
 1  0      0 159444 4111864 1765476    0    0    51    15 13731 24292 40 18 41  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1      0 159112 4112140 1765484    0    0    51    20 13756 23492 42 19 39  0  0	
 0  0      0 158864 4112404 1765500    0    0    51    14 13205 23576 39 16 42  2  0	
 4  0      0 159088 4112668 1765516    0    0    51    10 13425 24024 41 18 41  0  0	
 1  0      0 158360 4112932 1765524    0    0    51     6 13840 24374 42 17 39  2  0	
 1  0      0 158484 4113196 1765536    0    0    51     9 13368 23962 41 18 41  0  0	
 3  0      0 157988 4113460 1765548    0    0    51    22 13635 23972 42 17 40  1  0	
 0  0      0 157872 4113728 1765568    0    0    51    14 13984 24266 42 20 38  0  0	
 4  0      0 156908 4113984 1765592    0    0    51    21 13293 24739 45 20 35  0  0	
 0  0      0 156536 4114256 1765608    0    0    51    13 13451 25114 42 18 40  0  0	
 0  0      0 156660 4114520 1765616    0    0    51     5 14030 24539 42 18 40  0  0	
 0  0      0 156460 4114788 1765628    0    0    51    17 13517 24760 41 17 41  0  0	
 6  0      0 156252 4115052 1765644    0    0    51     9 13303 23835 41 16 42  1  0	
 1  0      0 156012 4115320 1765656    0    0    51    18 14151 24586 42 19 39  0  0	
 0  0      0 155764 4115584 1765664    0    0    51    22 13431 24355 42 17 40  1  0	
 3  0      0 155392 4115840 1765684    0    0    51    10 13598 24381 42 18 40  0  0	
 2  0      0 155392 4116104 1765700    0    0    51    13 14426 23717 42 20 39  0  0	
 4  0      0 155144 4116372 1765716    0    0    51    10 13561 24527 42 17 41  0  0	
 5  0      0 154772 4116644 1765728    0    0    51    11 13445 24630 42 17 39  2  0	
 6  0      0 154284 4116908 1765752    0    0    51    10 14276 24438 42 19 38  0  0	
 1  0      0 154160 4117176 1765752    0    0    51    26 13455 24244 43 17 40  0  0	
 0  0      0 154424 4117440 1765764    0    0    51    12 13710 24611 42 19 36  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1      0 153292 4117704 1765784    0    0    51    10 14081 24182 43 19 38  0  0	
 0  0      0 152920 4117960 1765800    0    0    51    10 13388 23680 41 16 42  0  0	
 1  0      0 152344 4118224 1765812    0    0    51     6 13315 23771 43 19 38  0  0	
 0  0      0 152740 4118488 1765828    0    0    51    14 14190 23938 42 19 37  2  0	
 1  0      0 152648 4118752 1765824    0    0    51    18 13379 24154 42 17 42  0  0	
 1  0      0 152300 4119020 1765828    0    0    51    20 13384 23465 41 17 39  3  0	
 1  0      0 151308 4119284 1765848    0    0    51    11 13968 23474 42 19 40  0  0	
 1  0      0 151308 4119548 1765856    0    0    51    10 13407 24479 42 17 40  0  0	
 2  0      0 151076 4119812 1765872    0    0    51    13 13580 23921 41 17 43  0  0	
 8  0      0 150448 4120072 1765904    0    0    51     7 14026 24178 43 19 37  0  0	
 3  0      0 150076 4120340 1765916    0    0    51    26 13341 23592 40 17 43  0  0	
 3  1      0 150076 4120604 1765924    0    0    51    10 13283 24228 42 17 41  1  0	
 0  0      0 149812 4120868 1765952    0    0    51     6 13940 24010 42 20 37  1  0	
 0  0      0 149324 4121136 1765956    0    0    51    24 13471 24249 41 17 42  0  0	
 1  0      0 149176 4121400 1765976    0    0    51    10 13404 24050 41 17 40  1  0	
10  0      0 148952 4121664 1765988    0    0    51    14 14210 23416 41 20 39  0  0	
 1  0      0 148704 4121928 1766004    0    0    51    25 13480 23474 40 16 43  0  0	
 2  0      0 148580 4122188 1766020    0    0    51     3 13488 24262 43 18 40  0  0	
 3  0      0 147676 4122452 1766036    0    0    51     5 13819 24206 46 22 31  1  0	
 1  0      0 147676 4122720 1766032    0    0    51    19 13554 25183 42 17 40  0  0	
 2  0      0 147392 4122988 1766052    0    0    51    14 13209 24366 41 17 39  3  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 147704 4123260 1766064    0    0    51    18 14175 24050 41 18 40  0  0	
 3  0      0 147456 4123516 1766080    0    0    51    15 13418 24063 42 17 41  0  0	
 2  0      0 146720 4123780 1766096    0    0    51    15 13502 25288 44 18 39  0  0	
 3  0      0 146472 4124044 1766120    0    0    51     7 14111 24090 42 20 38  0  0	
 1  0      0 146224 4124308 1766136    0    0    51    14 13730 24918 43 17 40  0  0	
 1  0      0 145828 4124572 1766148    0    0    51     7 13252 23993 41 17 42  0  0	
 1  0      0 146224 4124836 1766160    0    0    51    12 14071 24127 44 20 34  2  0	
 0  0      0 145728 4125100 1766176    0    0    51    35 13287 23469 42 17 41  0  0	
 2  0      0 145604 4125364 1766188    0    0    51    11 13214 23744 40 17 43  1  0	
 1  0      0 145232 4125628 1766200    0    0    51    10 13898 24054 43 18 39  0  0	
 1  0      0 144984 4125884 1766220    0    0    51     8 13657 24690 42 18 40  0  0	
 0  0      0 144736 4126152 1766236    0    0    51    13 13418 23481 40 17 43  0  0	
 2  0      0 144240 4126420 1766256    0    0    51    11 14075 23932 43 20 36  2  0	
 0  0      0 143360 4126684 1766264    0    0    51    16 13035 24440 46 21 33  0  0	
 0  0      0 143408 4126948 1766268    0    0    51    18 13420 23853 41 18 39  2  0	
 0  0      0 143192 4127216 1766284    0    0    51    16 14056 24358 43 21 36  0  0	
 3  0      0 143092 4127484 1766292    0    0    51    21 13305 24457 41 17 41  0  0	
 0  0      0 142968 4127740 1766324    0    0    51     6 13489 24108 41 16 43  0  0	
 2  0      0 142348 4128008 1766336    0    0    51    18 14365 24700 43 19 38  0  0	
 4  0      0 141852 4128272 1766344    0    0    51    16 13496 23836 41 17 42  0  0	
 4  0      0 141612 4128536 1766360    0    0    51     7 13565 24391 42 18 39  1  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 141496 4128800 1766368    0    0    51     7 13857 23714 42 19 39  0  0	
 4  0      0 141372 4129064 1766380    0    0    51    10 13505 24081 42 17 41  0  0	
 2  0      0 141124 4129328 1766400    0    0    51    17 13237 23341 40 16 42  2  0	
 2  0      0 140876 4129596 1766412    0    0    51    18 13994 24547 43 20 37  0  0	
 3  0      0 140380 4129860 1766424    0    0    51    27 13439 24226 42 16 42  0  0	
 2  0      0 139884 4130124 1766444    0    0    51     5 13467 23981 42 17 41  0  0	
 5  0      0 139496 4130380 1766464    0    0    51     5 13600 24291 43 19 37  1  0	
 1  0      0 139060 4130644 1766472    0    0    51    12 13588 24627 45 21 34  0  0	
 3  0      0 139308 4130912 1766488    0    0    51    10 13218 23945 41 17 40  1  0	
 3  0      0 139216 4131176 1766488    0    0    51    17 13856 24180 43 21 36  0  0	
 3  0      0 138876 4131444 1766504    0    0    51    31 13691 24103 42 16 42  0  0	
 2  0      0 138256 4131708 1766512    0    0    51    10 13474 23789 42 17 40  0  0	
 3  0      0 137900 4131972 1766524    0    0    51    10 14103 24776 42 19 37  2  0	
 3  0      0 138140 4132236 1766532    0    0    51     7 13587 23770 41 17 41  0  0	
 2  0      0 137792 4132500 1766552    0    0    51    12 13423 23967 42 17 39  2  0	
 1  0      0 137404 4132756 1766576    0    0    51     8 14241 24051 44 19 37  0  0	
 4  0      0 137296 4133020 1766592    0    0    51    15 13594 24182 41 16 42  0  0	
 0  0      0 137032 4133284 1766604    0    0    51    15 13004 23283 40 16 44  0  0	
 3  0      0 136412 4133548 1766628    0    0    51    12 13832 24799 43 20 37  0  0	
 2  0      0 136164 4133812 1766640    0    0    51    18 13610 24284 42 18 39  1  0	
 3  0      0 135816 4134076 1766656    0    0    51     3 13186 23601 41 16 43  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 135660 4134336 1766676    0    0    51    10 13924 24429 43 20 35  2  0	
 5  0      0 135560 4134600 1766688    0    0    51    23 13978 24012 41 17 42  0  0	
 0  0      0 134764 4134864 1766704    0    0    51     8 13370 24449 46 20 34  0  0	
 0  0      0 134316 4135132 1766700    0    0    51    19 13745 23976 41 18 41  0  0	
 2  0      0 134108 4135400 1766712    0    0    51    19 13748 24240 41 17 41  0  0	
 1  0      0 134296 4135664 1766724    0    0    51     9 13157 24143 42 17 41  0  0	
 2  0      0 127128 4135936 1766732    0    0    51    14 13440 24636 42 18 37  3  0	
 0  0      0 133708 4136200 1766748    0    0    51    22 13832 25000 43 19 39  0  0	
 0  0      0 133452 4136464 1766772    0    0    51     3 13591 24463 40 17 41  3  0	
 0  0      0 133196 4136724 1766800    0    0    51     3 13556 24700 43 19 38  0  0	
 5  0      0 132824 4136992 1766816    0    0    51    20 14145 23562 41 18 41  0  0	
 5  0      0 132204 4137256 1766832    0    0    51    12 13409 23644 42 18 41  0  0	
 0  0      0 132204 4137524 1766848    0    0    51    23 13478 23994 42 18 39  1  0	
 2  0      0 160104 4110144 1766856    0    0    51    22 14230 23874 41 19 39  0  0	
 1  0      0 159856 4110408 1766872    0    0    51     7 13329 23671 41 16 42  0  0	
 1  0      0 158740 4110672 1766876    0    0    51     7 13389 24560 42 19 38  2  0	
 0  0      0 159360 4110936 1766888    0    0    51     6 13846 23325 42 17 41  0  0	
 1  0      0 157832 4111200 1766904    0    0    51    18 13536 23578 40 17 43  0  0	
 4  0      0 157496 4111472 1766916    0    0    51    22 13371 24378 45 21 33  0  0	
 2  0      0 158132 4111736 1766920    0    0    51    18 14039 24446 42 19 38  0  0	
 1  0      0 158088 4112008 1766932    0    0    51    22 13195 23441 42 16 42  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 158080 4112272 1766952    0    0    51    10 13094 23567 42 18 39  1  0	
 1  0      0 157484 4112528 1766980    0    0    51     8 14018 24893 42 18 39  0  0	
 2  0      0 157096 4112792 1766996    0    0    51     6 13327 24364 43 17 39  0  0	
 3  0      0 156872 4113056 1767008    0    0    51    16 13376 23978 43 18 40  0  0	
 5  0      0 156756 4113320 1767020    0    0    51    21 14172 24345 43 18 39  0  0	
 1  0      0 156516 4113584 1767024    0    0    51    13 13476 23931 41 17 42  0  0	
 1  0      0 156004 4113852 1767040    0    0    51    10 13478 24114 40 19 41  1  0	
 1  0      0 155648 4114108 1767060    0    0    51     6 13919 23761 42 17 41  0  0	
 9  0      0 155400 4114376 1767080    0    0    51    11 13323 24435 43 17 36  4  0	
 2  0      0 154764 4114644 1767088    0    0    51    12 13347 23966 41 17 42  0  0	
 0  0      0 154260 4114908 1767112    0    0    51    22 13641 23869 43 21 37  0  0	
 1  0      0 154408 4115172 1767116    0    0    51    18 13542 23893 41 17 41  2  0	
 1  0      0 154164 4115436 1767128    0    0    51    13 13160 23753 44 22 34  0  0	
 3  0      0 153536 4115704 1767124    0    0    51    17 14041 24227 42 19 39  0  0	
 0  0      0 153336 4115964 1767148    0    0    51     8 13428 24896 42 17 41  0  0	
 3  0      0 152864 4116236 1767164    0    0    51    14 13405 23428 43 17 38  3  0	
